budget,popularity,revenue,title,vote_average,vote_count,release_year,release_month,release_day,return
30000000.0,21.946943,373554033.0,Toy Story,7.7,5415.0,1995.0,10.0,30.0,12.4518011
65000000.0,17.015539,262797249.0,Jumanji,6.9,2413.0,1995.0,12.0,15.0,4.0430346
0.0,11.7129,0.0,Grumpier Old Men,6.5,92.0,1995.0,12.0,22.0,0.0
16000000.0,3.859495,81452156.0,Waiting to Exhale,6.1,34.0,1995.0,12.0,22.0,5.09075975
0.0,8.387519,76578911.0,Father of the Bride Part II,5.7,173.0,1995.0,2.0,10.0,0.0
60000000.0,17.924927,187436818.0,Heat,7.7,1886.0,1995.0,12.0,15.0,3.123946966666667
58000000.0,6.677277,0.0,Sabrina,6.2,141.0,1995.0,12.0,15.0,0.0
0.0,2.561161,0.0,Tom and Huck,5.4,45.0,1995.0,12.0,22.0,0.0
35000000.0,5.23158,64350171.0,Sudden Death,5.5,174.0,1995.0,12.0,22.0,1.8385763142857143
58000000.0,14.686036,352194034.0,GoldenEye,6.6,1194.0,1995.0,11.0,16.0,6.072310931034483
62000000.0,6.318445,107879496.0,The American President,6.5,199.0,1995.0,11.0,17.0,1.739991870967742
0.0,5.430331,0.0,Dracula: Dead and Loving It,5.7,210.0,1995.0,12.0,22.0,0.0
0.0,12.140733,11348324.0,Balto,7.1,423.0,1995.0,12.0,22.0,0.0
44000000.0,5.092,13681765.0,Nixon,7.1,72.0,1995.0,12.0,22.0,0.3109492045454545
98000000.0,7.284477,10017322.0,Cutthroat Island,5.7,137.0,1995.0,12.0,22.0,0.1022175714285714
52000000.0,10.137389,116112375.0,Casino,7.8,1343.0,1995.0,11.0,22.0,2.2329302884615383
16500000.0,10.673167,135000000.0,Sense and Sensibility,7.2,364.0,1995.0,12.0,13.0,8.181818181818182
4000000.0,9.026586,4300000.0,Four Rooms,6.5,539.0,1995.0,12.0,9.0,1.075
30000000.0,8.205448,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995.0,11.0,10.0,7.079517766666667
60000000.0,7.337906,35431113.0,Money Train,5.4,224.0,1995.0,11.0,21.0,0.59051855
